part_number,manufacturer,condition,price,lead_time,vendor,location,quantity,
1SVR508100R0000,ABB,NEW IN SEALED PACKAGING,48.1,7-10 Days,Dreamland,Europe,5
1SVR508160R0000,ABB,NEW IN SEALED PACKAGING,65.86,7-10 Days,Dreamland,Europe,5
1SVR730850R2100,ABB,NEW IN SEALED PACKAGING,73.26,7-10 Days,Dreamland,Europe,5
1TNE968900R0100,ABB,REFURBISHED,418.95,7-10 Days,Dreamland,Europe,5
200-BPN,ABB,REFURBISHED,110.25,7-10 Days,Dreamland,Europe,5
200-CI232,ABB,REFURBISHED,519.75,7-10 Days,Dreamland,Europe,5
200-CI485G,ABB,REFURBISHED,423.15,7-10 Days,Dreamland,Europe,5
200-CIE,ABB,REFURBISHED,1048.95,7-10 Days,Dreamland,Europe,5
200-DMOD,ABB,REFURBISHED,418.95,7-10 Days,Dreamland,Europe,5
200-DU,ABB,REFURBISHED,189,7-10 Days,Dreamland,Europe,5
200-PSG,ABB,REFURBISHED,315,7-10 Days,Dreamland,Europe,5
200-PSSG,ABB,REFURBISHED,708.75,7-10 Days,Dreamland,Europe,5
2CDS273103R0634,ABB,REFURBISHED,87.15,7-10 Days,Dreamland,Europe,5
2CDS283001R0377,ABB,REFURBISHED,523.95,7-10 Days,Dreamland,Europe,5
2TLA010002R0000,ABB,NEW IN SEALED PACKAGING,166.5,7-10 Days,Dreamland,Europe,5
2TLA010050R0000,ABB,NEW SURPLUS,128.88,7-10 Days,Dreamland,Europe,5
2TLA020070R1700,ABB,REFURBISHED,764.4,7-10 Days,Dreamland,Europe,5
2TLA020070R4700,ABB,NEW IN SEALED PACKAGING,739.26,7-10 Days,Dreamland,Europe,5
2TLA020072R0000,ABB,NEW IN SEALED PACKAGING,181.3,7-10 Days,Dreamland,Europe,5
3ADM200133R0101,ABB,REFURBISHED,2362.5,7-10 Days,Dreamland,Europe,5
3ADT220129R1001,ABB,NEW IN SEALED PACKAGING,675,7-10 Days,Dreamland,Europe,5
3BDH000002R1,ABB,REFURBISHED,144.9,7-10 Days,Dreamland,Europe,5
3BDH000012R1,ABB,REFURBISHED,1126.65,7-10 Days,Dreamland,Europe,5
3BDH000014R1,ABB,REFURBISHED,1653.75,7-10 Days,Dreamland,Europe,5
3BDH000017R1,ABB,REFURBISHED,664.65,7-10 Days,Dreamland,Europe,5
3BDH000022R1,ABB,REFURBISHED,1819.65,7-10 Days,Dreamland,Europe,5
3BDH000032R1,ABB,REFURBISHED,1819.65,7-10 Days,Dreamland,Europe,5
3BDH000530R1,ABB,REFURBISHED,3748.5,7-10 Days,Dreamland,Europe,5
3BDS014114,ABB,NEW IN SEALED PACKAGING,265.66,7-10 Days,Dreamland,Europe,5
3BDZ000398R1,ABB,REFURBISHED,895.65,7-10 Days,Dreamland,Europe,5
3BHT300002R1,ABB,REFURBISHED,717.15,7-10 Days,Dreamland,Europe,5
3BSC610037R1,ABB,REFURBISHED,502.95,7-10 Days,Dreamland,Europe,5
3BSC610042R1,ABB,REFURBISHED,455.7,7-10 Days,Dreamland,Europe,5
3BSC640008R1,ABB,REFURBISHED,667.8,7-10 Days,Dreamland,Europe,5
3BSC690086R1,ABB,NEW IN SEALED PACKAGING,591.26,7-10 Days,Dreamland,Europe,5
3BSC690087R1,ABB,NEW IN SEALED PACKAGING,1035.26,7-10 Days,Dreamland,Europe,5
3BSE004253R1,ABB,REFURBISHED,551.25,7-10 Days,Dreamland,Europe,5
3BSE004939R1,ABB,NEW IN SEALED PACKAGING,990,7-10 Days,Dreamland,Europe,5
3BSE005177R1,ABB,REFURBISHED,538.65,7-10 Days,Dreamland,Europe,5
3BSE008508R1,ABB,NEW SURPLUS,326.88,7-10 Days,Dreamland,Europe,5
3BSE008508R1,ABB,NEW IN SEALED PACKAGING,486,7-10 Days,Dreamland,Europe,5
3BSE008508R1,ABB,REFURBISHED,288.75,7-10 Days,Dreamland,Europe,5
3BSE008510R1,ABB,REFURBISHED,173.25,7-10 Days,Dreamland,Europe,5
3BSE008514R1,ABB,REFURBISHED,315,7-10 Days,Dreamland,Europe,5
3BSE008516Z1,ABB,REFURBISHED,523.95,7-10 Days,Dreamland,Europe,5
3BSE008518R1,ABB,REFURBISHED,562.8,7-10 Days,Dreamland,Europe,5
3BSE008522R1,ABB,REFURBISHED,752.85,7-10 Days,Dreamland,Europe,5
3BSE008536R1,ABB,REFURBISHED,75.6,7-10 Days,Dreamland,Europe,5
3BSE008538R1,ABB,REFURBISHED,16.8,7-10 Days,Dreamland,Europe,5
3BSE008544R1,ABB,REFURBISHED,787.5,7-10 Days,Dreamland,Europe,5
3BSE008552R1,ABB,REFURBISHED,395.85,7-10 Days,Dreamland,Europe,5
3BSE013210R1,ABB,REFURBISHED,433.65,7-10 Days,Dreamland,Europe,5
3BSE013224R1,ABB,REFURBISHED,525,7-10 Days,Dreamland,Europe,5
3BSE013230R1,ABB,NEW IN SEALED PACKAGING,195,7-10 Days,Dreamland,Europe,5
3BSE013231R1,ABB,NEW IN SEALED PACKAGING,239,7-10 Days,Dreamland,Europe,5
3BSE013231R1,ABB,REFURBISHED,115.5,7-10 Days,Dreamland,Europe,5
3BSE013235R1,ABB,NEW IN SEALED PACKAGING,275,7-10 Days,Dreamland,Europe,5
3BSE013235R1,ABB,REFURBISHED,177.45,7-10 Days,Dreamland,Europe,5
3BSE013237R1,ABB,REFURBISHED,144.9,7-10 Days,Dreamland,Europe,5
3BSE018103R1,ABB,REFURBISHED,1311.45,7-10 Days,Dreamland,Europe,5
3BSE018104R1,ABB,REFURBISHED,2454.9,7-10 Days,Dreamland,Europe,5
3BSE018114R1,ABB,REFURBISHED,1522.5,7-10 Days,Dreamland,Europe,5
3BSE018126R1,ABB,REFURBISHED,283.5,7-10 Days,Dreamland,Europe,5
3BSE018157R1,ABB,REFURBISHED,2335.2,7-10 Days,Dreamland,Europe,5
3BSE018158R1,ABB,REFURBISHED,2388.75,7-10 Days,Dreamland,Europe,5
3BSE018172R1,ABB,REFURBISHED,607.95,7-10 Days,Dreamland,Europe,5
3BSE020508R1,ABB,REFURBISHED,140.7,7-10 Days,Dreamland,Europe,5
3BSE020510R1,ABB,REFURBISHED,315,7-10 Days,Dreamland,Europe,5
3BSE020512R1,ABB,NEW IN SEALED PACKAGING,665.26,7-10 Days,Dreamland,Europe,5
3BSE022366R1,ABB,REFURBISHED,735,7-10 Days,Dreamland,Europe,5
3BSE022457R1,ABB,REFURBISHED,445.2,7-10 Days,Dreamland,Europe,5
3BSE022462R1,ABB,REFURBISHED,144.9,7-10 Days,Dreamland,Europe,5
3BSE025349R1,ABB,REFURBISHED,232.05,7-10 Days,Dreamland,Europe,5
3BSE030192R1,ABB,REFURBISHED,189,7-10 Days,Dreamland,Europe,5
3BSE030221R1,ABB,REFURBISHED,1158.15,7-10 Days,Dreamland,Europe,5
3BSE030230R1,ABB,REFURBISHED,867.3,7-10 Days,Dreamland,Europe,5
3BSE035451R1,ABB,REFURBISHED,523.95,7-10 Days,Dreamland,Europe,5
3BSE035457R1,ABB,REFURBISHED,523.95,7-10 Days,Dreamland,Europe,5
3BSE036714R1,ABB,REFURBISHED,523.95,7-10 Days,Dreamland,Europe,5
3BSE038415R1,ABB,NEW IN SEALED PACKAGING,1075,7-10 Days,Dreamland,Europe,5
3BSE038415R1,ABB,REFURBISHED,551.25,7-10 Days,Dreamland,Europe,5
3BSE040662R1,ABB,REFURBISHED,573.3,7-10 Days,Dreamland,Europe,5
3BSE041882R1,ABB,REFURBISHED,667.8,7-10 Days,Dreamland,Europe,5
3BSE042245R1,ABB,NEW SURPLUS,608,7-10 Days,Dreamland,Europe,5
3BSE042245R1,ABB,REFURBISHED,496.65,7-10 Days,Dreamland,Europe,5
3BSE050200R1,ABB,REFURBISHED,4173.75,7-10 Days,Dreamland,Europe,5
3BSE051306R1,ABB,REFURBISHED,726.6,7-10 Days,Dreamland,Europe,5
3BSE069209R1,ABB,NEW IN SEALED PACKAGING,96.2,7-10 Days,Dreamland,Europe,5
3HAA2602-2,ABB,NEW IN SEALED PACKAGING,69.56,7-10 Days,Dreamland,Europe,5
3HAC028357-001,ABB,NEW IN SEALED PACKAGING,4995,7-10 Days,Dreamland,Europe,5
3HAC028357-001,ABB,REFURBISHED,2873.85,7-10 Days,Dreamland,Europe,5
3HAC029872-001/1,ABB,NEW SURPLUS,180,7-10 Days,Dreamland,Europe,5
3HAC037084-001,ABB,NEW SURPLUS,402.48,7-10 Days,Dreamland,Europe,5
3HAC055665-002,ABB,NEW IN SEALED PACKAGING,369.26,7-10 Days,Dreamland,Europe,5
3HAC055665-002,ABB,NEW SURPLUS,323.28,7-10 Days,Dreamland,Europe,5
3HAC067645-001,ABB,NEW IN SEALED PACKAGING,62.27,7-10 Days,Dreamland,Europe,5
3HAC7434-1,ABB,NEW SURPLUS,6.84,7-10 Days,Dreamland,Europe,5
3HNE00313-1,ABB,REFURBISHED,1233.75,7-10 Days,Dreamland,Europe,5
492850101,ABB,REFURBISHED,523.95,7-10 Days,Dreamland,Europe,5
57160001-AAK,ABB,REFURBISHED,441,7-10 Days,Dreamland,Europe,5
57411490,ABB,REFURBISHED,1047.9,7-10 Days,Dreamland,Europe,5
58038741,ABB,REFURBISHED,496.65,7-10 Days,Dreamland,Europe,5
58038750,ABB,REFURBISHED,165.9,7-10 Days,Dreamland,Europe,5
58096652,ABB,REFURBISHED,827.4,7-10 Days,Dreamland,Europe,5
6203BZ10000A,ABB,REFURBISHED,330.75,7-10 Days,Dreamland,Europe,5
6204BZ10100D,ABB,REFURBISHED,330.75,7-10 Days,Dreamland,Europe,5
6204BZ10100F,ABB,REFURBISHED,330.75,7-10 Days,Dreamland,Europe,5
6205BZ10000,ABB,REFURBISHED,330.75,7-10 Days,Dreamland,Europe,5
6215BZ10000A,ABB,REFURBISHED,330.75,7-10 Days,Dreamland,Europe,5
6225BZ10000,ABB,REFURBISHED,330.75,7-10 Days,Dreamland,Europe,5
6226NZ10400,ABB,REFURBISHED,210,7-10 Days,Dreamland,Europe,5
6227BZ10200D,ABB,REFURBISHED,330.75,7-10 Days,Dreamland,Europe,5
6229BZ10200B,ABB,REFURBISHED,330.75,7-10 Days,Dreamland,Europe,5
6231BP10810,ABB,REFURBISHED,330.75,7-10 Days,Dreamland,Europe,5
6240BP10411,ABB,REFURBISHED,330.75,7-10 Days,Dreamland,Europe,5
6262BZ10000B,ABB,REFURBISHED,551.25,7-10 Days,Dreamland,Europe,5
70AA02A-E,ABB,REFURBISHED,165.9,7-10 Days,Dreamland,Europe,5
70AB01C-ES,ABB,REFURBISHED,523.95,7-10 Days,Dreamland,Europe,5
70EB02C-ES,ABB,REFURBISHED,523.95,7-10 Days,Dreamland,Europe,5
81EB02,ABB,REFURBISHED,1001.7,7-10 Days,Dreamland,Europe,5
88FT01,ABB,REFURBISHED,1573.95,7-10 Days,Dreamland,Europe,5
89NG03,ABB,REFURBISHED,1984.5,7-10 Days,Dreamland,Europe,5
A12-30-10,ABB,REFURBISHED,55.65,7-10 Days,Dreamland,Europe,5
A16,ABB,REFURBISHED,82.95,7-10 Days,Dreamland,Europe,5
A16-30-10-81,ABB,REFURBISHED,52.5,7-10 Days,Dreamland,Europe,5
A63-30,ABB,REFURBISHED,120.75,7-10 Days,Dreamland,Europe,5
A9-30-10,ABB,REFURBISHED,26.25,7-10 Days,Dreamland,Europe,5
A95-30,ABB,REFURBISHED,55.65,7-10 Days,Dreamland,Europe,5
ACQ580-01-02A6-4,ABB,REFURBISHED,395.85,7-10 Days,Dreamland,Europe,5
ACS100-PAN,ABB,REFURBISHED,199.5,7-10 Days,Dreamland,Europe,5
ACS101-2K7-1,ABB,REFURBISHED,367.5,7-10 Days,Dreamland,Europe,5
ACS141-K18-1,ABB,REFURBISHED,306.6,7-10 Days,Dreamland,Europe,5
ACS143-1K6-1,ABB,NEW IN SEALED PACKAGING,625,7-10 Days,Dreamland,Europe,5
ACS143-1K6-1,ABB,REFURBISHED,603.75,7-10 Days,Dreamland,Europe,5
ACS143-4K1-3,ABB,REFURBISHED,367.5,7-10 Days,Dreamland,Europe,5
ACS150-01E-04A7-2,ABB,REFURBISHED,307.65,7-10 Days,Dreamland,Europe,5
ACS150-01E-07A5-2,ABB,REFURBISHED,252,7-10 Days,Dreamland,Europe,5
ACS150-03U-01A2-4,ABB,NEW IN SEALED PACKAGING,295.26,7-10 Days,Dreamland,Europe,5
ACS301-2P7-3,ABB,REFURBISHED,933.45,7-10 Days,Dreamland,Europe,5
ACS310-03E-04A5-4,ABB,NEW IN SEALED PACKAGING,354.46,7-10 Days,Dreamland,Europe,5
ACS350-03E-01A9-4,ABB,REFURBISHED,246.75,7-10 Days,Dreamland,Europe,5
ACS355-03E-01A2-4,ABB,REFURBISHED,285.6,7-10 Days,Dreamland,Europe,5
ACS355-03E-04A1-4,ABB,REFURBISHED,361.2,7-10 Days,Dreamland,Europe,5
ACS355-03E-05A6-4,ABB,REFURBISHED,389.55,7-10 Days,Dreamland,Europe,5
ACS355-03E-07A3-4,ABB,NEW IN SEALED PACKAGING,753,7-10 Days,Dreamland,Europe,5
ACS355-03E-15A6-4,ABB,REFURBISHED,743.4,7-10 Days,Dreamland,Europe,5
ACS355-03E-23A1-4,ABB,NEW IN SEALED PACKAGING,978,7-10 Days,Dreamland,Europe,5
ACS401000932,ABB,REFURBISHED,769.65,7-10 Days,Dreamland,Europe,5
ACS480-04-039A-4,ABB,NEW IN SEALED PACKAGING,1548,7-10 Days,Dreamland,Europe,5
ACS550-01-012A-4,ABB,NEW IN SEALED PACKAGING,835,7-10 Days,Dreamland,Europe,5
ACS550-01-015A-4,ABB,NEW IN SEALED PACKAGING,977,7-10 Days,Dreamland,Europe,5
ACS550-01-015A-4,ABB,REFURBISHED,847.35,7-10 Days,Dreamland,Europe,5
ACS550-01-023A-4,ABB,REFURBISHED,1134,7-10 Days,Dreamland,Europe,5
ACS550-01-031A-4,ABB,NEW IN SEALED PACKAGING,1635,7-10 Days,Dreamland,Europe,5
ACS550-01-031A-4,ABB,REFURBISHED,1482.6,7-10 Days,Dreamland,Europe,5
ACS550-01-038A-4,ABB,REFURBISHED,1602.3,7-10 Days,Dreamland,Europe,5
ACS550-01-03A3-4,ABB,REFURBISHED,439.95,7-10 Days,Dreamland,Europe,5
ACS550-01-045A-4,ABB,REFURBISHED,1724.1,7-10 Days,Dreamland,Europe,5
ACS550-01-04A1-4,ABB,NEW IN SEALED PACKAGING,493,7-10 Days,Dreamland,Europe,5
ACS550-01-059A-4,ABB,NEW IN SEALED PACKAGING,2424,7-10 Days,Dreamland,Europe,5
ACS550-01-059A-4,ABB,REFURBISHED,1979.25,7-10 Days,Dreamland,Europe,5
ACS550-01-072A-4,ABB,REFURBISHED,2887.5,7-10 Days,Dreamland,Europe,5
ACS550-01-08A8-4,ABB,REFURBISHED,642.6,7-10 Days,Dreamland,Europe,5
ACS550-01-125A-4,ABB,REFURBISHED,3438.75,7-10 Days,Dreamland,Europe,5
ACS550-01-180A-4,ABB,REFURBISHED,4124.4,7-10 Days,Dreamland,Europe,5
