part_number,manufacturer,condition,price,lead_time,vendor,location,quantity 
TWS220-45HT,AEG,REFURBISHED,30,7-10 Days,Greinert & Glatt,Europe,5
100-K05KF10,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,53,7-10 Days,Greinert & Glatt,Europe,5
100S-C16DJ32BC,ALLEN BRADLEY,NEW SURPLUS,99,7-10 Days,Greinert & Glatt,Europe,5
1403-CF001,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,82,7-10 Days,Greinert & Glatt,Europe,5
1403-CF001,ALLEN BRADLEY,NEW SURPLUS,74,7-10 Days,Greinert & Glatt,Europe,5
140-MN-0040,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,92,7-10 Days,Greinert & Glatt,Europe,5
140-MN-0040,ALLEN BRADLEY,NEW SURPLUS,83,7-10 Days,Greinert & Glatt,Europe,5
1492-RCD2A16,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,56,7-10 Days,Greinert & Glatt,Europe,5
1492-SP3D100,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,25,7-10 Days,Greinert & Glatt,Europe,5
1492-SP3D100,ALLEN BRADLEY,NEW SURPLUS,23,7-10 Days,Greinert & Glatt,Europe,5
160-BMB2,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,132,7-10 Days,Greinert & Glatt,Europe,5
1734-CTM,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,9,7-10 Days,Greinert & Glatt,Europe,5
1734-IE4C,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,111,7-10 Days,Greinert & Glatt,Europe,5
1734-OE2C,ALLEN BRADLEY,NEW SURPLUS,150,7-10 Days,Greinert & Glatt,Europe,5
1734-VTM,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,9.4,7-10 Days,Greinert & Glatt,Europe,5
1756-LSP,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,1125,7-10 Days,Greinert & Glatt,Europe,5
1756-M08SE,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,1092,7-10 Days,Greinert & Glatt,Europe,5
1756-M16SE,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,1612,7-10 Days,Greinert & Glatt,Europe,5
1756-N2,ALLEN BRADLEY,NEW SURPLUS,27,7-10 Days,Greinert & Glatt,Europe,5
1762-IQ8OW6,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,276,7-10 Days,Greinert & Glatt,Europe,5
1762-OB16,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,96,7-10 Days,Greinert & Glatt,Europe,5
1769-HSC,ALLEN BRADLEY,NEW SURPLUS,824,7-10 Days,Greinert & Glatt,Europe,5
