part_number,manufacturer,condition,price,lead_time,vendor,location,quantity 
100-C12J10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C12KB10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C12KJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C12KL10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C12N10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C12Z*10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C12Z*10 A,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16-10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16A10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16D*10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16D300,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16D400,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16DJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16EA10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16EJ01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16EJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16EJ400,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16J10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16KD10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16KD400,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16KF10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16KF13,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16KJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16KY10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16UD10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-c16z*10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C16ZJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23*10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23D01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23D10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23D400,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23DJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23E10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23EJ01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23EJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
